Date,Close
31-05-2017,150.1
30-05-2017,146.65
29-05-2017,145.4
26-05-2017,150.95
25-05-2017,150.5
24-05-2017,147.5
23-05-2017,149.5
22-05-2017,151.05
19-05-2017,155.4
18-05-2017,158.6
17-05-2017,165.05
16-05-2017,174.55
15-05-2017,166.95
12/5/2017,168.85
11/5/2017,172.05
10/5/2017,172.05
9/5/2017,173.55
8/5/2017,176.05
5/5/2017,174.65
4/5/2017,179.45
3/5/2017,174.25
2/5/2017,170.75
28-04-2017,168.9
27-04-2017,164.7
26-04-2017,166.2
25-04-2017,161.1
24-04-2017,155.5
21-04-2017,155.05
20-04-2017,155.15
19-04-2017,153.85
18-04-2017,156.1
17-04-2017,158.85
13-04-2017,155.85
12/4/2017,158.8
11/4/2017,158.2
10/4/2017,152.2
7/4/2017,148.9
6/4/2017,151.25
5/4/2017,151.15
3/4/2017,149.95
31-03-2017,150.7
30-03-2017,152.4
29-03-2017,148.9
28-03-2017,147.75
27-03-2017,146.75
24-03-2017,141.3
23-03-2017,135.8
22-03-2017,136.9
21-03-2017,142.55
20-03-2017,145.1
17-03-2017,144.85
16-03-2017,148
15-03-2017,145.25
14-03-2017,143.65
10/3/2017,141.45
9/3/2017,141.35
8/3/2017,140.95
7/3/2017,141.65
6/3/2017,141.5
3/3/2017,139.65
2/3/2017,139.2
1/3/2017,142.6
28-02-2017,141.35
27-02-2017,139.35
23-02-2017,140.4
22-02-2017,142.05
21-02-2017,143.75
20-02-2017,142.75
17-02-2017,140.2
16-02-2017,140.85
15-02-2017,139.8
14-02-2017,144.1
13-02-2017,142.4
10/2/2017,145.2
9/2/2017,144.75
8/2/2017,149.8
7/2/2017,151.8
6/2/2017,149.65
3/2/2017,150
2/2/2017,142.55
1/2/2017,140.35
31-01-2017,135.95
30-01-2017,137.7
27-01-2017,137.8
25-01-2017,133.05
24-01-2017,131.5
23-01-2017,129.6
20-01-2017,128.05
19-01-2017,132.1
18-01-2017,130.4
17-01-2017,130.25
16-01-2017,128.35
13-01-2017,125.1
12/1/2017,125.8
11/1/2017,123.65
10/1/2017,119.35
9/1/2017,119.7
6/1/2017,119.15
5/1/2017,117.65
4/1/2017,115.2
3/1/2017,118.2
2/1/2017,115.65
30-12-2016,115.6
29-12-2016,113.3
28-12-2016,113.85
27-12-2016,116.1
26-12-2016,115.1
23-12-2016,119.95
22-12-2016,119.35
21-12-2016,120.55
20-12-2016,121.6
19-12-2016,124.4
16-12-2016,125.15
15-12-2016,126.25
14-12-2016,127.05
13-12-2016,129.45
12/12/2016,130.9
9/12/2016,135.2
8/12/2016,133.05
7/12/2016,131.7
6/12/2016,134.3
5/12/2016,135.65
2/12/2016,133.95
1/12/2016,136.3
30-11-2016,138.2
29-11-2016,136.2
28-11-2016,137.15
25-11-2016,140.3
24-11-2016,138
23-11-2016,137.55
22-11-2016,137.45
21-11-2016,136.5
18-11-2016,149.7
17-11-2016,147.65
16-11-2016,148.8
15-11-2016,154.55
11/11/2016,155.65
10/11/2016,159.35
9/11/2016,142.45
8/11/2016,140.6
7/11/2016,140.25
4/11/2016,131.6
3/11/2016,133.15
2/11/2016,136.75
1/11/2016,143.5
30-10-2016,144.4
28-10-2016,143.9
27-10-2016,141.95
26-10-2016,144
25-10-2016,146.35
24-10-2016,147
21-10-2016,147.55
20-10-2016,145.4
19-10-2016,140.85
18-10-2016,140.65
17-10-2016,136.65
14-10-2016,139
13-10-2016,137.95
10/10/2016,144.4
7/10/2016,143.25
6/10/2016,141.85
5/10/2016,144.3
4/10/2016,145.85
3/10/2016,143.6
30-09-2016,140.65
29-09-2016,136.8
28-09-2016,146.45
27-09-2016,139.75
26-09-2016,140.05
23-09-2016,139.35
22-09-2016,141.05
21-09-2016,135.8
20-09-2016,137.65
19-09-2016,138.3
16-09-2016,137.85
15-09-2016,138.7
14-09-2016,141.85
12/9/2016,137.2
9/9/2016,144.9
8/9/2016,142.5
7/9/2016,139.25
6/9/2016,132.7
2/9/2016,126.15
1/9/2016,125.75
31-08-2016,127.4
30-08-2016,127.05
29-08-2016,123.05
26-08-2016,122.7
25-08-2016,125.75
24-08-2016,126.3
23-08-2016,126.65
22-08-2016,127.6
19-08-2016,128.15
18-08-2016,126.55
17-08-2016,124.95
16-08-2016,122.8
12/8/2016,122.8
11/8/2016,116.25
10/8/2016,119.75
9/8/2016,124.1
8/8/2016,122.9
5/8/2016,123.45
4/8/2016,122.4
3/8/2016,121.55
2/8/2016,122.9
1/8/2016,122.25
29-07-2016,123.45
28-07-2016,129
27-07-2016,132.75
26-07-2016,129.45
25-07-2016,130.15
22-07-2016,120.25
21-07-2016,123.7
20-07-2016,129.4
19-07-2016,131.4
18-07-2016,132.5
15-07-2016,136
14-07-2016,132.8
13-07-2016,124.95
12/7/2016,126.3
11/7/2016,127.25
8/7/2016,117.6
7/7/2016,116.95
5/7/2016,113.9
4/7/2016,112.75
1/7/2016,105.25
30-06-2016,105.8
29-06-2016,104.45
28-06-2016,104.2
27-06-2016,104.2
24-06-2016,102.15
23-06-2016,99.25
22-06-2016,96.8
21-06-2016,97.15
20-06-2016,96.3
17-06-2016,94.5
16-06-2016,92.6
15-06-2016,90.4
14-06-2016,89.5
13-06-2016,82.95
10/6/2016,83.95
9/6/2016,82.1
8/6/2016,80.75
7/6/2016,77.7
6/6/2016,77
3/6/2016,76.15
2/6/2016,77.45
1/6/2016,76.75
31-05-2016,79.1
30-05-2016,77.2
27-05-2016,76.65
26-05-2016,74.65
25-05-2016,74
24-05-2016,71.95
23-05-2016,72.15
20-05-2016,73.35
19-05-2016,74.05
18-05-2016,76.2
17-05-2016,73.8
16-05-2016,74.9
13-05-2016,77.55
12/5/2016,79.5
11/5/2016,79.5
10/5/2016,82.6
9/5/2016,82.7
6/5/2016,80.85
5/5/2016,81.6
4/5/2016,81.25
3/5/2016,82.85
2/5/2016,84.25
29-04-2016,87.1
28-04-2016,88.2
27-04-2016,90.1
26-04-2016,90.15
25-04-2016,89.15
22-04-2016,90.05
21-04-2016,88.55
20-04-2016,84.25
18-04-2016,82.5
13-04-2016,84.55
12/4/2016,83.45
11/4/2016,83.05
8/4/2016,81.55
7/4/2016,80.9
6/4/2016,81.3
5/4/2016,82.85
4/4/2016,86.85
1/4/2016,87.8
31-03-2016,84.7
30-03-2016,85.55
29-03-2016,81.95
28-03-2016,82.25
23-03-2016,84.75
22-03-2016,85.9
21-03-2016,86.5
18-03-2016,84.35
